Level number = 0; NO SOLUTION
Level number = 57; my solution = rddrdld ; def solution = 
Level number = 59; my solution = drurulrlurd ; def solution = 
Level number = 60; my solution = uuuldrddlu ; def solution = 
Level number = 61; my solution = rruld ; def solution = 
Level number = 62; my solution = ulldruurdluulldruldrul ; def solution = 
Level number = 63; my solution = ldru ; def solution = 
Level number = 64; my solution = lldr ; def solution = 
Level number = 65; my solution = rdrdlu ; def solution = 
Level number = 67; my solution =  ; def solution = drdrrur
Level number = 68; my solution =  ; def solution = ruurulld
Level number = 69; my solution =  ; def solution = udldr
Level number = 70; my solution =  ; def solution = dludru
Level number = 71; my solution =  ; def solution = lruldr
Level number = 72; my solution =  ; def solution = druld
Level number = 73; my solution =  ; def solution = dluldrur
Level number = 74; my solution =  ; def solution = uldlu
Level number = 75; my solution =  ; def solution = rrrdrd
Level number = 76; my solution = ulrdr ; def solution = nwese
Level number = 77; my solution = lluddr ; def solution = wwnsse
Level number = 78; my solution = ldlldr ; def solution = wssws
Level number = 79; my solution = uldlld ; def solution = nwswws
Level number = 80; my solution = ulullu ; def solution = nwnwwn
Level number = 81; my solution =  ; def solution = wnwnnesswn
Level number = 82; my solution = rulldd ; def solution = enwwss
Level number = 84; my solution = ldulu ; def solution = wsnwn
Level number = 85; my solution = ldruldlrluu ; def solution = wseneswewn
Level number = 86; my solution = uuuurdldulur ; def solution = nnnneswsnwne
Level number = 87; my solution = ruruldlurrr ; def solution = enenwswneee
Level number = 88; my solution =  ; def solution = ssssnene
Level number = 89; my solution =  ; def solution = nnwnwwsesesensesennwnwnwnwnnwesesesese
Level number = 90; my solution = lluldu ; def solution = wwnwsn
Level number = 91; my solution = dulur ; def solution = rdlulurd
Level number = 0; NO SOLUTION
Level number = 67; my solution =  ; def solution = drdrrur
Level number = 68; my solution =  ; def solution = ruurulld
Level number = 69; my solution =  ; def solution = udldr
Level number = 70; my solution =  ; def solution = dludru
Level number = 71; my solution =  ; def solution = lruldr
Level number = 72; my solution =  ; def solution = druld
Level number = 73; my solution =  ; def solution = dluldrur
Level number = 74; my solution =  ; def solution = uldlu
Level number = 75; my solution =  ; def solution = rrrdrd
